Номер,Игрок,Команда,Амплуа,Голы,Пенальти,Мин./Гол,Мин,Игры
1,Эрлинг Холанд,Норвегия,нападающий,5,2,64.2,321,4
2,Стефан Мугоша,Черногория,нападающий,4,0,67.5,270,3
3,Владислав Гутковский,Латвия,нападающий,4,0,75.75,303,4
4,Сердар Дурсун,Турция,нападающий,4,1,62.25,249,4
5,Мемфис Депай,Нидерланды,нападающий,3,0,65.67,197,3
6,Абат Аймбетов,Казахстан,нападающий,3,0,"100,00",300,4
7,Анастасиос Бакасетас,Греция,нападающий,3,0,108.33,325,4
8,Йон Николэеску,Молдавия,нападающий,3,3,110.33,331,4
9,Смаил Превляк,Босния и Герцеговина,нападающий,2,0,"40,00",80,3
10,Андроникос Какулис,Кипр,нападающий,2,0,"52,00",104,3
11,Буду Зивзивадзе,Грузия,нападающий,2,0,74.5,149,3
12,Боян Миовски,Северная Македония,нападающий,2,0,"79,00",158,4
13,Андреас Корнелиус,Дания,нападающий,2,0,"88,00",176,4
14,Леандро Троссард,Бельгия,нападающий,2,0,"91,00",182,4
15,Йоэль Похьянпало,Финляндия,нападающий,2,0,98.5,197,3
16,Лука Йович,Сербия,нападающий,2,0,99.5,199,4
17,Криштиану Роналду,Португалия,нападающий,2,0,"104,00",208,3
18,Пабло Сарабия,Испания,нападающий,2,0,"108,00",216,4
19,Ян Кухта,Чехия,нападающий,2,0,125.5,251,4
20,Александр Митрович,Сербия,нападающий,2,0,130.5,261,3
21,Миши Батшуайи,Бельгия,нападающий,2,0,132.5,265,4
22,Тимо Вернер,Германия,нападающий,2,0,"134,00",268,4
23,Халил Дервишоглу,Турция,нападающий,2,0,142.5,285,4
24,Эдин Джеко,Босния и Герцеговина,нападающий,2,0,152.5,305,4
25,Роберт Ульдрикис,Латвия,нападающий,2,0,"154,00",308,4
26,Роланд Шаллаи,Венгрия,нападающий,2,0,157.5,315,4
27,Теэму Пукки,Финляндия,нападающий,2,1,151.5,303,4
28,Ведат Мурики,Косово,нападающий,2,1,"180,00",360,4
29,Луа Опенда,Бельгия,нападающий,1,0,"28,00",28,3
30,Рикарду Орта,Португалия,нападающий,1,0,"49,00",49,3
31,Кароль Свидерски,Польша,нападающий,1,0,"50,00",50,2
32,Хенри Аниер,Эстония,нападающий,1,0,"51,00",51,2
33,Виктор Дьёкереш,Швеция,нападающий,1,0,"60,00",60,3
34,Юнус Акгюн,Турция,нападающий,1,0,"82,00",82,3
35,Беньямин Кялльман,Финляндия,нападающий,1,0,"95,00",95,3
36,Ваут Вегорст,Нидерланды,нападающий,1,0,"103,00",103,2
37,Йонас Винд,Дания,нападающий,1,0,"118,00",118,2
38,Шош-Зальман Вайссман,Израиль,нападающий,1,0,"136,00",136,3
39,Михаэль Грегорич,Австрия,нападающий,1,0,"139,00",139,4
40,Роберт Кирс,Эстония,нападающий,1,0,"150,00",150,2
41,Георгиос Якумакис,Греция,нападающий,1,0,"156,00",156,3
42,Марсио Виейра,Андорра,нападающий,1,0,"156,00",156,4
43,Гонсалу Гедеш,Португалия,нападающий,1,0,"160,00",160,3
44,Владимир Вайсс,Словакия,нападающий,1,0,"161,00",161,3
45,Ноа Ланг,Нидерланды,нападающий,1,0,"163,00",163,2
46,Килиан Мбаппе,Франция,нападающий,1,0,"163,00",163,3
47,Харис Сеферович,Швейцария,нападающий,1,0,"165,00",165,4
48,Лука Менало,Босния и Герцеговина,нападающий,1,0,"167,00",167,3
49,Артём Довбик,Украина,нападающий,1,0,"173,00",173,3
50,Георги Минчев,Болгария,нападающий,1,0,"173,00",173,3
51,Марко Арнаутович,Австрия,нападающий,1,0,"178,00",178,4
52,Коди Гакпо,Нидерланды,нападающий,1,0,"183,00",183,3
53,Махир Эмрели,Азербайджан,нападающий,1,0,"185,00",185,4
54,Юрген Дегабриэле,Мальта,нападающий,1,0,"189,00",189,3
55,Атанас Илиев,Болгария,нападающий,1,0,"194,00",194,4
56,Кирилл Десподов,Болгария,нападающий,1,0,"199,00",199,3
57,Милан Ристовски,Северная Македония,нападающий,1,0,"200,00",200,3
58,Андреас Вайман,Австрия,нападающий,1,0,"201,00",201,3
59,Шейн Лейвери,Северная Ирландия,нападающий,1,0,"201,00",201,4
60,Вангелис Павлидис,Греция,нападающий,1,0,"204,00",204,4
61,Жорж Микаутадзе,Грузия,нападающий,1,0,"211,00",211,4
62,Че Адамс,Шотландия,нападающий,1,0,"220,00",220,3
63,Рамиль Шейдаев,Азербайджан,нападающий,1,0,"225,00",225,4
64,Трой Пэрротт,Ирландия,нападающий,1,0,"230,00",230,3
65,Альваро Мората,Испания,нападающий,1,0,"231,00",231,4
66,Вильфред Ньонто,Италия,нападающий,1,0,"231,00",231,4
67,Томас Мюллер,Германия,нападающий,1,0,"232,00",232,4
68,Димитриос Лимниос,Греция,нападающий,1,0,"249,00",249,3
69,Роберт Левандовски,Польша,нападающий,1,0,"249,00",249,3
70,Андреас Сков Ольсен,Дания,нападающий,1,0,"251,00",251,4
71,Беньямин Шешко,Словения,нападающий,1,0,"263,00",263,4
72,Александр Сёрлот,Норвегия,нападающий,1,0,"268,00",268,4
73,Карим Бензема,Франция,нападающий,1,0,"270,00",270,3
74,Армандо Броя,Албания,нападающий,1,1,"90,00",90,1
75,Гарет Бэйл,Уэльс,нападающий,1,1,"106,00",106,3
76,Андрей Крамарич,Хорватия,нападающий,1,1,"173,00",173,4
77,Михаил Каймаков,Молдавия,нападающий,1,1,"265,00",265,3
78,Гарри Кейн,Англия,нападающий,1,1,"295,00",295,4